Justificativa,Justificativa_processada,Classificacao
SUPORTE COMPRESSORES PCI3 E ACOMPANHAMENTO ESTABILIZAÇÃO RETORNO INJEÇÃO,suporte compressores pci3 e acompanhamento estabilizacao retorno injecao,
SUPORTE OPERACIONAL HS3 AF3 / EQUALIZAÇÃO PRESSURIZAÇÃO,suporte operacional hs3 af3 / equalizacao pressurizacao,
APOIO AO PLANTAO E OPERAÇAO / HOPPERS COM VARIAÇÃO COMPORTAMENTO DESCARGA E TARA DESPRESSURIZADA,apoio ao plantao e operacao / hoppers com variacao comportamento descarga e tara despressurizada,
APOIO AO TURNO / PCI1 FLAG TRAVADO INJEÇÃO VA23,apoio ao turno / pci1 flag travado injecao va23,
APOIO INPEÇÃO / CRIAR INDICADORES PROVISORIOS PARA ABERTURA DO BLEEDER 2,apoio inpecao / criar indicadores provisorios para abertura do bleeder 2,
QUEDA LINHAS IMPARES AF1 / OPERAÇÃO SOLICITOU APOIO DEVIDA AO AUMENTO DA INSTABILIDADE DE LINHAS,queda linhas impares af1 / operacao solicitou apoio devida ao aumento da instabilidade de linhas,
QUEDA RI PCI1 /  OPERAÇÃO SOLICITOU ALTERAÇÕES PROVISORIAS PARA EVITAR QUEDAS E SUPORTE AVALIAÇÃO DO,queda ri pci1 /  operacao solicitou alteracoes provisorias para evitar quedas e suporte avaliacao do,
VARIAÇÃO INJ PCI2 / APOIO SOLICITADO PELO PLANTÃO / AVALIANDO PCI2 E RETORNANDO INFORMAÇÕES COM SC,variacao inj pci2 / apoio solicitado pelo plantao / avaliando pci2 e retornando informacoes com sc,
SC AF1/ DIFICULDADE OPERAR GRUPO 5/ ORIENTADO E AVALIADO FALHAS VIA CELULAR PARA RETORNO DO MOINHO,sc af1/ dificuldade operar grupo 5/ orientado e avaliado falhas via celular para retorno do moinho,
SC AF1/ PCI COM OSCILAÇÃO DEVIDO CRIVO  VI3 / AVALIAÇÕES E ORIENTAÇÕES P/ AÇÕES REAÇÃO AOS PROBLEMAS,sc af1/ pci com oscilacao devido crivo  vi3 / avaliacoes e orientacoes p/ acoes reacao aos problemas,
SC AF3/ VASO 2 CRIVO QUEDA INJEÇÃO / INSTABILIDADE REDUÇÃO AF / RETORNO LANÇAS P/ MANTER COMPRESSOR,sc af3/ vaso 2 crivo queda injecao / instabilidade reducao af / retorno lancas p/ manter compressor,
APOIO AO TURNO/ CRAAF INSTABILIDADE COMUNICAÇÃO CARTÕES DA FCS0107 / ORIENTAÇÕES E SUPORTE,apoio ao turno/ craaf instabilidade comunicacao cartoes da fcs0107 / orientacoes e suporte,
APOIO AO TURNO/ ALARME ELEVADO CORRENTE MOTORES MOAGEM / AVALIAR E ORIENTAR OPERAÇÃO,apoio ao turno/ alarme elevado corrente motores moagem / avaliar e orientar operacao,
APOIO AO TURNO / CHAMA PRINCIPAL M3 NÃO OPERA / DEFINIR COM OPERAÇÃO ESTRATEGIA DE FUNCIONAMENTO,apoio ao turno / chama principal m3 nao opera / definir com operacao estrategia de funcionamento,
APOIO A OPERAÇÃO / AJUSTE UMIDADE CWH03 / PARTIR M2,apoio a operacao / ajuste umidade cwh03 / partir m2,
APOIO A OPERAÇAO / ALARME CALHA ROTATIVA DESLOCAMENTO AF2 - AVALIAR SITUAÇÃO,apoio a operacao / alarme calha rotativa deslocamento af2 - avaliar situacao,
APOIO A OPERAÇÃO / PARTIDA MOTOR MESA M1 EM FALHA / NIVEL MUITO BAIXO SILO FINOS,apoio a operacao / partida motor mesa m1 em falha / nivel muito baixo silo finos,
APOIO AO TURNO / VENT PRINCIPAL M1 NÃO PARTE E NIVEL BAIXO SF / DISJUNTOR TROCADO QUEIMA BOBINA,apoio ao turno / vent principal m1 nao parte e nivel baixo sf / disjuntor trocado queima bobina,
APOIO A OPERAÇÃO / INJ F2 NÃO DA VAZÃO DO SP / FEITO AJUSTES E ORIENTAÇÕES A OPERAÇÃO,apoio a operacao / inj f2 nao da vazao do sp / feito ajustes e orientacoes a operacao,
FINALIZAR LÓGICA DESOBST PCI1 / APOIO OPERAÇÃO/TURNO/PLANTÃO INSTABILIDADE INJ F2 / AVALIAÇÕES E ORI,finalizar logica desobst pci1 / apoio operacao/turno/plantao instabilidade inj f2 / avaliacoes e ori,
APOIO AO TURNO/OPERAÇÃO / VENT PRINCIPAL M1 NÃO PARTE / AVALIAÇÃO E ORIENTAÇÃO,apoio ao turno/operacao / vent principal m1 nao parte / avaliacao e orientacao,
APOIO A CELULA DE CONFIABILIDADE DO DESPOEIRAMENTO / FALHA DAMPER CASA DE CORRIDA AF2,apoio a celula de confiabilidade do despoeiramento / falha damper casa de corrida af2,
RETORNO AF3 E PCI/ANALISADOR OFFTAKE,retorno af3 e pci/analisador offtake,
CRIAR NOVAS TELA CADINHO PARA ATENDER CTO E APRESENTAR A IXT PARA AJUSTES,criar novas tela cadinho para atender cto e apresentar a ixt para ajustes,
APOIO A OPERAÇÃO/ QUEDA DA INJ PCI2 / DIFICULDADE RETORNO ROTA,apoio a operacao/ queda da inj pci2 / dificuldade retorno rota,
APOIO TURNO/ AJUSTE FATOR CORREÇÃO PCI1,apoio turno/ ajuste fator correcao pci1,
APOIO OPERAÇÃO / FATOR CORREÇÃO PCI1 LIMITE INFERIOR COM CORREÇÕES CONTINUAS,apoio operacao / fator correcao pci1 limite inferior com correcoes continuas,
APOIO OPERAÇÃO / AJUSTES PCI2,apoio operacao / ajustes pci2,
CALIBRAÇÃO CABLOC AF2,calibracao cabloc af2,
CALIBRAÇÃO CABLOC AF3,calibracao cabloc af3,
RETORNO AF3,retorno af3,
RETORNO AF3 / PARTIDA M3 E ROTAS INJEÇÃO,retorno af3 / partida m3 e rotas injecao,
APOIO OPERAÇÃO/M3 CAINDO SUCESSIVAMENTE/DETECTADO VARIAÇAÕ ANORMAL VAZAO BFG CHAMA PRINCIPAL,apoio operacao/m3 caindo sucessivamente/detectado variacao anormal vazao bfg chama principal,
APOIO AO TURNO / FALHA SINAL NIVEL CADINHO / ISOLADO SINAL FG1 E NORMALIZADA IND PROVISÓRIAMENTE,apoio ao turno / falha sinal nivel cadinho / isolado sinal fg1 e normalizada ind provisoriamente,
ACOMPANHAMENTO PRESENCIAL HBI,acompanhamento presencial hbi,
SUPORTE A IXT/ INSERÇÃO LMF2 POR FALHA PRESSOSTATO / ACOMPANHAMENTO HBI,suporte a ixt/ insercao lmf2 por falha pressostato / acompanhamento hbi,
APOIO AO TURNO/OPERAÇÃO/ FALHA CARTÃO AI FCS0509 / TROCADO,apoio ao turno/operacao/ falha cartao ai fcs0509 / trocado,
APOIO AO TURNO/OPERAÇÃO/ FALHA SEQUENCIA HS3 AF2,apoio ao turno/operacao/ falha sequencia hs3 af2,
APOIO A OPERAÇÃO/FALHA SISTEMA HIDRAULICO M3/BOMBA LIGADA E PRESSÃO NÃO SOBE,apoio a operacao/falha sistema hidraulico m3/bomba ligada e pressao nao sobe,
APOIO AO TURNO/MS VASOS PCI2/ AJUSTE PARAMETROS DEVIDO REDUÇÃO DE PRESSÃO VASO,apoio ao turno/ms vasos pci2/ ajuste parametros devido reducao de pressao vaso,
"ACOMPANHAMENTO REMOTO RETORNO AF1, PCI","acompanhamento remoto retorno af1, pci",
CALIBRAÇÃO CABLOCS AF1,calibracao cablocs af1,
ACOMPANHAMENTO RETORNO PCI 1,acompanhamento retorno pci 1,
APOIO A OPERAÇÃO/FALHA PARTIDA VENT PRINCIPAL M1,apoio a operacao/falha partida vent principal m1,
CALIBRAÇÃO CABLOCS AF2,calibracao cablocs af2,
AJUSTES SOFTWARE BOMBAS RECIRCULAÇÃO/ IMPEDIR QUEDA CCM,ajustes software bombas recirculacao/ impedir queda ccm,
solicitação da supervisão da letra D,solicitacao da supervisao da letra d,
"Letra C: No lugar de Juliana, afastada de suas atividades","letra c: no lugar de juliana, afastada de suas atividades",
Letra A,letra a,
Férias do operador letra B,ferias do operador letra b,
Letra B - Ferias do falcão,letra b - ferias do falcao,
Letra D - Operador de Férias,letra d - operador de ferias,
Letra D - Férias da Maria,letra d - ferias da maria,
NR 13 Operação em Caldeiras,nr 13 operacao em caldeiras,
NR 13 Operação em Caldeiras 4/5,nr 13 operacao em caldeiras 4/5,
NR 13 operação em caldeiras,nr 13 operacao em caldeiras,
Manobras de rede de agua do mar,manobras de rede de agua do mar,
Letra B - Ferias do ANDERSON,letra b - ferias do anderson,
NR 33 - Espaço confinado - Reciclagem,nr 33 - espaco confinado - reciclagem,
NR35 - TRABALHOS EM ALTURA - RECICLAGEM,nr35 - trabalhos em altura - reciclagem,
Letra B: Ausencia de operador para rendição das 18:00 as 20:00,letra b: ausencia de operador para rendicao das 18:00 as 20:00,
Letra B: No lugar do Anderson,letra b: no lugar do anderson,
Letra B - No lugar do DIEGO FALCÃO,letra b - no lugar do diego falcao,
Letra B - No lugar do Operador,letra b - no lugar do operador,
Letra C: Tar Decanter,letra c: tar decanter,
Desobstrução do silo 17 / AF1,desobstrucao do silo 17 / af1,
Desobstrução do silo 02 e 08 AF1 (quartzo),desobstrucao do silo 02 e 08 af1 (quartzo),
Desobstrução silo 17 sinter AF1,desobstrucao silo 17 sinter af1,
Preparação da sala de operação da casa de corrida AF2 para receber a automação do CBG,preparacao da sala de operacao da casa de corrida af2 para receber a automacao do cbg,
Acompanhamento Caixa refrigeração CECAL e Bacia de decantação,acompanhamento caixa refrigeracao cecal e bacia de decantacao,
Acompanhamento processo de limpeza da bacia decantação carregamento AFs 2 e 3,acompanhamento processo de limpeza da bacia decantacao carregamento afs 2 e 3,
Injeção de Massa Carbonosa no cadinho do Alto Forno 1,injecao de massa carbonosa no cadinho do alto forno 1,
"Mobilização equipe RCM, AMBIPAR, CARGA PESADA (espessador AF1)","mobilizacao equipe rcm, ambipar, carga pesada (espessador af1)",
Atendimento com equipe civil na troca da carriagem (canal 2 AF2) e recuperação da viga.,atendimento com equipe civil na troca da carriagem (canal 2 af2) e recuperacao da viga.,
Limpeza da bacia de decantação do Carregamento dos AF's 2 e 3,limpeza da bacia de decantacao do carregamento dos af's 2 e 3,
PGR / FPS07 / Tratamento anomalia galpãp de lona NF e Garantia,pgr / fps07 / tratamento anomalia galpap de lona nf e garantia,
Desobstrução do silo 3 AF3 (Minério),desobstrucao do silo 3 af3 (minerio),
PGR / FPS07 / Elaboração do plano de ação,pgr / fps07 / elaboracao do plano de acao,
FM e FC 27 / Atendimento legislação ambiental,fm e fc 27 / atendimento legislacao ambiental,
Mobilização equipe Vamtec para injeção de massa cadinho AF1,mobilizacao equipe vamtec para injecao de massa cadinho af1,
Mobilização equipe Vamtec para injeção de massa cadinho AF1 / Portaria,mobilizacao equipe vamtec para injecao de massa cadinho af1 / portaria,
Força Terefa Granuladores IMBA,forca terefa granuladores imba,
SAP PGR / FPS07 / Elaboração do plano de ação,sap pgr / fps07 / elaboracao do plano de acao,
Mobilização container vestiário AF 2 / instalação elétrica,mobilizacao container vestiario af 2 / instalacao eletrica,
Plartaforma móvel AF2 (inicio da mantenção civil),plartaforma movel af2 (inicio da mantencao civil),
Plartaforma móvel AF2 (mantenção civil - Plataforma móvel),plartaforma movel af2 (mantencao civil - plataforma movel),
Plartaforma móvel AF2 (mantenção civil - Plataforma fixa),plartaforma movel af2 (mantencao civil - plataforma fixa),
RMS LETRA A,rms letra a,
Apoio no AF02.,apoio no af02.,
acompanhamento do PCI.,acompanhamento do pci.,
Reparo dos cabos tratamento de gás.,reparo dos cabos tratamento de gas.,
ACOMPNHAMENTO NO PÁTIO DE CARVÃO.,acompnhamento no patio de carvao.,
Apoio preventiva da WF-8,apoio preventiva da wf-8,
apoio no pátioi de carvão,apoio no patioi de carvao,
Apoio no pátio de carvão,apoio no patio de carvao,
Apoio periodo de chuva.,apoio periodo de chuva.,
Apoio cubículo da C5611.,apoio cubiculo da c5611.,
forno engaiolado,forno engaiolado,
apoio cwq cdq 3 unidades,apoio cwq cdq 3 unidades,
cwq cdq 3 unidades,cwq cdq 3 unidades,
Absenteísmo,absenteismo,
quadro defasado,quadro defasado,
reposiçao de quadro funcional,reposicao de quadro funcional,
Quadro funcional defasado,quadro funcional defasado,
abseteismo,abseteismo,
NR 20,nr 20,
NR 20 - aula pratica,nr 20 - aula pratica,
onibus de hora extra,onibus de hora extra,
absseteismo,absseteismo,
Férias Funcionário férias letra D + Atraso onibus,ferias funcionario ferias letra d + atraso onibus,
Férias Funcionário férias letra D,ferias funcionario ferias letra d,
NR33-ESPACO CONFINADO,nr33-espaco confinado,
Brigada Incêndio,brigada incendio,
Afastamento funcionário da Letra A,afastamento funcionario da letra a,
Manobras no TAR Decanter,manobras no tar decanter,
Acompanhamento troca frame cilindro C4 - BAT4,acompanhamento troca frame cilindro c4 - bat4,
continuação atividades de roina da área,continuacao atividades de roina da area,
Prolongamento da jornada para atendimento a rotina,prolongamento da jornada para atendimento a rotina,
Prolongamento das atividades de rotina,prolongamento das atividades de rotina,
"Acompanhamento da unidade 501, após NR13 / Prontidão","acompanhamento da unidade 501, apos nr13 / prontidao",
Prolongamento da jornada para atendimento a rotina / custo,prolongamento da jornada para atendimento a rotina / custo,
Prolongamento da jornada para atendimento custo ICCT,prolongamento da jornada para atendimento custo icct,
Acompanhamento troca da válvula de alimentação CDQ / Manobra de tampa,acompanhamento troca da valvula de alimentacao cdq / manobra de tampa,
Acompanhamento raqueateamento coletor 2 BAT1 - Inicio descomissionamento,acompanhamento raqueateamento coletor 2 bat1 - inicio descomissionamento,
Acompanhamento atividades de reparo do tubulação de MG da BAT2,acompanhamento atividades de reparo do tubulacao de mg da bat2,
Prolongamento da jornada para atendimento custo área,prolongamento da jornada para atendimento custo area,
Acompanhamento Troca trilho das Locomotivas,acompanhamento troca trilho das locomotivas,
"Acompanhamento em área prontidão: falha inversor Ponte 2, ações retorno unidade 201 do CDQ","acompanhamento em area prontidao: falha inversor ponte 2, acoes retorno unidade 201 do cdq",
Apresentação Speak Up,apresentacao speak up,
Prolongamento da jornada para atendimento a rotina e saindo de férias,prolongamento da jornada para atendimento a rotina e saindo de ferias,
Continuidade aos servicos de rotina e fechamento custo mensal,continuidade aos servicos de rotina e fechamento custo mensal,
Prolongamento da jornada para continuação das atividades de rotina e fechamento custo mensal,prolongamento da jornada para continuacao das atividades de rotina e fechamento custo mensal,
Prolongamento jornada para continuação das atividades de rotina acompanhamento ocorrências GC2 /LOC2,prolongamento jornada para continuacao das atividades de rotina acompanhamento ocorrencias gc2 /loc2,
Prolongamento da jornada para continuação das atividades de rotina,prolongamento da jornada para continuacao das atividades de rotina,
Estratégia/planejamento atuação na comporta 2 do Vagão CWQ,estrategia/planejamento atuacao na comporta 2 do vagao cwq,
Acompanhamento troca cabo de aço Ponte 1 e prolongamento das atividades de rotina,acompanhamento troca cabo de aco ponte 1 e prolongamento das atividades de rotina,
Elaborando Pcid e prolongamento das atividades de rotina diárias,elaborando pcid e prolongamento das atividades de rotina diarias,
Prolongamento da jornada para atendimento a rotina e PCID,prolongamento da jornada para atendimento a rotina e pcid,
Finalizando P_CID ICCC,finalizando p_cid iccc,
"Atendimento a ocorrência de troca do conjunto abridor de portinhlas, bica e ponta da barra da MD-3","atendimento a ocorrencia de troca do conjunto abridor de portinhlas, bica e ponta da barra da md-3",
Prolongamento da jornada para atendimento a rotina e acompanhamento manunutenção compressor 1 da MD1,prolongamento da jornada para atendimento a rotina e acompanhamento manunutencao compressor 1 da md1,
Estoque avançado,estoque avancado,
Prolongamento da jornada para atendimento a anomalias na área do CDQ,prolongamento da jornada para atendimento a anomalias na area do cdq,
Relatório Custo ICCT/ICC,relatorio custo icct/icc,
"Prolongamento da jornada para atendimento a anomalias na área, após blackout","prolongamento da jornada para atendimento a anomalias na area, apos blackout",
Caldeira U101 furada,caldeira u101 furada,
Caldeira 401 furada,caldeira 401 furada,
Planejamento troca cabo de aço da Ponte 2,planejamento troca cabo de aco da ponte 2,
Troca cabo dee aço Ponte 2 e serviços rotina,troca cabo dee aco ponte 2 e servicos rotina,
Prolongamento da jornada para atendimento a rotina e custo,prolongamento da jornada para atendimento a rotina e custo,
Prolongamento para desenvolvimento das atividades de rotina,prolongamento para desenvolvimento das atividades de rotina,
Joilson RMS,joilson rms,
Retorno operacional AF03,retorno operacional af03,
Efetivo reduzido,efetivo reduzido,
Instabilidade operacional/PCI,instabilidade operacional/pci,
Instabilidade dos fornos,instabilidade dos fornos,
TOPO AF03,topo af03,
RMS Letra A,rms letra a,
Afastamento do SV,afastamento do sv,
Insabilidade carregamento,insabilidade carregamento,
Transferencia Fabricio para ADM,transferencia fabricio para adm,
Cobertura 2º turno eleições,cobertura 2o turno eleicoes,
RMS letra A,rms letra a,
Apoio a limpeza das rotas de carvão do AF02.,apoio a limpeza das rotas de carvao do af02.,
LETRA C,letra c,
LETRA B,letra b,
NÃO FOI FEITO O HORARIO DE DESCANSO,nao foi feito o horario de descanso,
retorno af03,retorno af03,
Retorno AF02,retorno af02,
Reciclagem de NR33,reciclagem de nr33,
Reciclagem de NR35,reciclagem de nr35,
Apoio ao Alto Forno 01,apoio ao alto forno 01,
Absenteismo. hora extra realizada dia 04/04,absenteismo. hora extra realizada dia 04/04,
Apoio NR-13,apoio nr-13,
Apoio operacional,apoio operacional,
NR-20,nr-20,
Atraso na saída dos~ônibus.,atraso na saida dos~onibus.,
Atraso na saída dos ônibus.,atraso na saida dos onibus.,
Apoio especial unidade 101 e saída em atraso da rodoviária.,apoio especial unidade 101 e saida em atraso da rodoviaria.,
Apoio remoto ao eletricista do Turno avaliar a logica da recuperação que estava travada em falha,apoio remoto ao eletricista do turno avaliar a logica da recuperacao que estava travada em falha,
Elaboração AF Preliminar da falha do cubículo EX1201B solicitação do prontidão,elaboracao af preliminar da falha do cubiculo ex1201b solicitacao do prontidao,
