Justificativa,Justificativa_processada,Classificacao,Justificativa_classificada
Cross wall COG da Bateria 4,cross wall cog da bateria 4,,Manutenção/Inspeção/Teste de Máquina
Demanda ajuste na Bateria 4 combustão com COG.,demanda ajuste na bateria 4 combustao com cog.,,Manutenção/Inspeção/Teste de Máquina
Ajuste paredes COG na Bateria 4,ajuste paredes cog na bateria 4,,Manutenção/Inspeção/Teste de Máquina
Ajuste COG Bateria 4,ajuste cog bateria 4,,Manutenção/Inspeção/Teste de Máquina
Blackaut,blackaut,,"Desculpe, mas parece que houve um erro de digitação ou informação incompleta na sua solicitação. Por favor, forneça as justificativas de hora extra que você gostaria que eu classificasse."
Ajuste Bateria 4,ajuste bateria 4,,Manutenção/Inspeção/Teste de Máquina
recapeamento do tubulao de MG e limpeza das valvulas da Bateria 4,recapeamento do tubulao de mg e limpeza das valvulas da bateria 4,,Manutenção/Inspeção/Teste de Máquina
leitura cross wall de pressão da Bateria 4,leitura cross wall de pressao da bateria 4,,Manutenção/Inspeção/Teste de Máquina
Abafamento da Bateria 1,abafamento da bateria 1,,Parada de Máquina
C 10 - Avaliação tecnica - rompimento do fusivel.,c 10 - avaliacao tecnica - rompimento do fusivel.,,Manutenção/Inspeção/Teste de Máquina
BC211 - Rasgo da correia / C 5614 - Serviço na tremonha // RE 1202 - concha // CK5 Bis - Acoplamento,bc211 - rasgo da correia / c 5614 - servico na tremonha // re 1202 - concha // ck5 bis - acoplamento,,Manutenção/Inspeção/Teste de Máquina
RE 1202 - Troca da concha na roda de caçamba.,re 1202 - troca da concha na roda de cacamba.,,Manutenção/Inspeção/Teste de Máquina
PV 20 A - Quebra do rolamento da peneira.,pv 20 a - quebra do rolamento da peneira.,,Parada de Máquina
Bateria Fixa - Serviço de recapeamento na tubulação MG.,bateria fixa - servico de recapeamento na tubulacao mg.,,Manutenção/Inspeção/Teste de Máquina
Bateria Fixa - Troca do flexivel no went - LC.,bateria fixa - troca do flexivel no went - lc.,,Manutenção/Inspeção/Teste de Máquina
"Turno - Acompanhamento com turno da operação , Sup. Patricio.","turno - acompanhamento com turno da operacao , sup. patricio.",,Manutenção/Inspeção/Teste de Máquina
BF - Avaliação no cilindro do LC - COG.,bf - avaliacao no cilindro do lc - cog.,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento operacional - Sup Patricio .,acompanhamento operacional - sup patricio .,,Não Classificado
Acompanhamento operacional - Sup Patricio  - CDQ.,acompanhamento operacional - sup patricio  - cdq.,,Não Classificado
BAT4 - Avaliação das correntes .,bat4 - avaliacao das correntes .,,Manutenção/Inspeção/Teste de Máquina
BAT 4 - Construção da analise de falha da quebra da corrente.,bat 4 - construcao da analise de falha da quebra da corrente.,,Manutenção/Inspeção/Teste de Máquina
BF - Troca da tubulação de agua desminerizada.,bf - troca da tubulacao de agua desminerizada.,,Manutenção/Inspeção/Teste de Máquina
Atuação nas comportas da chaminé 1.,atuacao nas comportas da chamine 1.,,Manutenção/Inspeção/Teste de Máquina
Forno 94 - Preditiva - Medição de espessura.,forno 94 - preditiva - medicao de espessura.,,Manutenção/Inspeção/Teste de Máquina
GC3 - Troca das rodas de apoio da grade do guia.,gc3 - troca das rodas de apoio da grade do guia.,,Manutenção/Inspeção/Teste de Máquina
BAT 4 - Atuação no desarme devido curto no sensor do C8.,bat 4 - atuacao no desarme devido curto no sensor do c8.,,Parada de Máquina
BAT4 - Troca do cilindro C 1.2 - MG.,bat4 - troca do cilindro c 1.2 - mg.,,Manutenção/Inspeção/Teste de Máquina
Ponte2: Acompnhante e ajustes no freio.,ponte2: acompnhante e ajustes no freio.,,Manutenção/Inspeção/Teste de Máquina
Serviços administrativos.,servicos administrativos.,,Não Classificado
PGO - Bleeder´s da bateria 3.,pgo - bleeder's da bateria 3.,,Manutenção/Inspeção/Teste de Máquina
Relatório - Diagnose itens criticos.,relatorio - diagnose itens criticos.,,Manutenção/Inspeção/Teste de Máquina
"GC2 - Troca do oleo , bomba e valvula de ventagem .","gc2 - troca do oleo , bomba e valvula de ventagem .",,Manutenção/Inspeção/Teste de Máquina
PGO - Bleeders das baterias 2 e 3 .,pgo - bleeders das baterias 2 e 3 .,,Manutenção/Inspeção/Teste de Máquina
QC 101 - Boca de carga  e MD1 - cabo de aço da barra niveladora.,qc 101 - boca de carga  e md1 - cabo de aco da barra niveladora.,,Manutenção/Inspeção/Teste de Máquina
Relatório dos itens criticos e solicitaçãod a Sarah.,relatorio dos itens criticos e solicitacaod a sarah.,,Não Classificado
BAT3 - Tubulão de MG - LC e montagem de andaime na linha de licor.,bat3 - tubulao de mg - lc e montagem de andaime na linha de licor.,,Manutenção/Inspeção/Teste de Máquina
BAT3 - Tubulão de MG - LC  .,bat3 - tubulao de mg - lc  .,,Não Classificado
Atendimento ocorrencias Blackout,atendimento ocorrencias blackout,,Outros Eventos Externos
CK06 - Acondicionamento do tambor e redutor no acionamento e solda dos cachorros no acoplamento.,ck06 - acondicionamento do tambor e redutor no acionamento e solda dos cachorros no acoplamento.,,Manutenção/Inspeção/Teste de Máquina
BAT3 - Reparo externo no tubulão MG - LC.,bat3 - reparo externo no tubulao mg - lc.,,Manutenção/Inspeção/Teste de Máquina
GC1 - Troca da cilindro tilt.,gc1 - troca da cilindro tilt.,,Manutenção/Inspeção/Teste de Máquina
BAT3 - Acompanhamento no tubulão MG - LC. - 1º noite;,bat3 - acompanhamento no tubulao mg - lc. - 1o noite;,,Manutenção/Inspeção/Teste de Máquina
BAT3 - Acompanhamento no tubulão MG - LC.e MD2  - 2º noite;,bat3 - acompanhamento no tubulao mg - lc.e md2  - 2o noite;,,Manutenção/Inspeção/Teste de Máquina
BAT3  - Acompanhamento no tubulão MG - LC e MD2 - 3º noite.,bat3  - acompanhamento no tubulao mg - lc e md2 - 3o noite.,,Manutenção/Inspeção/Teste de Máquina
LOC2 - troca do acoplamento da translação do motor diesel.,loc2 - troca do acoplamento da translacao do motor diesel.,,Manutenção/Inspeção/Teste de Máquina
Unidade 301 - Troca do motor P-303.,unidade 301 - troca do motor p-303.,,Manutenção/Inspeção/Teste de Máquina
Cobrindo férias,cobrindo ferias,,Substituição de Colaborador
equipe com 1 a menos devido troca de letra.,equipe com 1 a menos devido troca de letra.,,Substituição de Colaborador
cobrindo ausência de empregado na letra,cobrindo ausencia de empregado na letra,,Substituição de Colaborador
cobrindo ferias,cobrindo ferias,,Substituição de Colaborador
cobrindo férias de empregado,cobrindo ferias de empregado,,Substituição de Colaborador
NR20,nr20,,Não Classificado
NR11,nr11,,Não Classificado
APOIO AO RETORNO AF2/PCI,apoio ao retorno af2/pci,,Manutenção/Inspeção/Teste de Máquina
APOIO A OPERAÇÃO EMISSÃO H2 + ANALISE COMPORTAMENTO SONICO,apoio a operacao emissao h2 + analise comportamento sonico,,Manutenção/Inspeção/Teste de Máquina
CALIBRAÇÃO CABLOCS ROTAS F1,calibracao cablocs rotas f1,,Manutenção/Inspeção/Teste de Máquina
APOIO AO TURNO FALHA LEITURA TEMP FG 2 AF3,apoio ao turno falha leitura temp fg 2 af3,,Parada de Máquina
RETORNO AF2,retorno af2,,Parada de Máquina
LISTA PENDENCIAS / SOFTWARE LANÇAS,lista pendencias / software lancas,,Não Classificado
IMPLEMENTAR MODIFICAÇÃO SOFTWARE INJEÇÃO/APOIO GERENCIAL OPERAÇÃO EVENTOS EXAARA,implementar modificacao software injecao/apoio gerencial operacao eventos exaara,,Não Classificado
ACOMAPANHAMENTO E AJUSTES DOS PCIS,acomapanhamento e ajustes dos pcis,,Manutenção/Inspeção/Teste de Máquina
APOIO TURNO HOPPER 3 AF3,apoio turno hopper 3 af3,,Manutenção/Inspeção/Teste de Máquina
APOIO TURNO CONTROLE NIVEIS SCRUBBER,apoio turno controle niveis scrubber,,Manutenção/Inspeção/Teste de Máquina
APOIO OPERAÇÃO/TURNO DESCONTROLE NIVEIS SCRUBBER,apoio operacao/turno descontrole niveis scrubber,,Parada de Máquina
APOIO TURNO LIMITE SONICO HOPPER AF1,apoio turno limite sonico hopper af1,,Não Classificado
APOIO OPERAÇÃO VASO 1 PCI2 VALVULA DESPRESSURIZAÇÃO E MS,apoio operacao vaso 1 pci2 valvula despressurizacao e ms,,Manutenção/Inspeção/Teste de Máquina
APOIO TURNO ZT PCV VASO 1 PCI2 LIBERAR VASO SINAL ZT VIA HART,apoio turno zt pcv vaso 1 pci2 liberar vaso sinal zt via hart,,Manutenção/Inspeção/Teste de Máquina
INVESTIGAÇÃO VA03 AF3 LANÇA DESLOCADA ANALISE IMAGEM CAMERA,investigacao va03 af3 lanca deslocada analise imagem camera,,Manutenção/Inspeção/Teste de Máquina
APOIO INTERVENÇAO VENT PRINCIPAL M3,apoio intervencao vent principal m3,,Manutenção/Inspeção/Teste de Máquina
PERDA SINAIS CABLOCS LINHAS PCI3 / FONTES INOPERANTES,perda sinais cablocs linhas pci3 / fontes inoperantes,,Parada de Máquina
INCLUIR SELETOR NIVEL VIRTUAL NO ESTAGIO 1 DEVIDO A PROBLEMAS OBSTRUÇÃO NA LIMPEZA DE GAS,incluir seletor nivel virtual no estagio 1 devido a problemas obstrucao na limpeza de gas,,Parada de Máquina
APOIO AO TURNO  AJUSTE FATOR CABLOC AF1,apoio ao turno  ajuste fator cabloc af1,,Não Classificado
APOIO AO TURNO FALHA COMUNICAÇÃO MODBUS PLC TOPO AF3,apoio ao turno falha comunicacao modbus plc topo af3,,Parada de Máquina
CALIBRAÇÃO CABLOCS ROTAS F3,calibracao cablocs rotas f3,,Manutenção/Inspeção/Teste de Máquina
SUPORTE COMPRESSORES PCI3 E ACOMPANHAMENTO ESTABILIZAÇÃO RETORNO INJEÇÃO,suporte compressores pci3 e acompanhamento estabilizacao retorno injecao,,Manutenção/Inspeção/Teste de Máquina
SUPORTE OPERACIONAL HS3 AF3 / EQUALIZAÇÃO PRESSURIZAÇÃO,suporte operacional hs3 af3 / equalizacao pressurizacao,,Não Classificado
APOIO AO PLANTAO E OPERAÇAO / HOPPERS COM VARIAÇÃO COMPORTAMENTO DESCARGA E TARA DESPRESSURIZADA,apoio ao plantao e operacao / hoppers com variacao comportamento descarga e tara despressurizada,,Parada de Máquina
APOIO AO TURNO / PCI1 FLAG TRAVADO INJEÇÃO VA23,apoio ao turno / pci1 flag travado injecao va23,,Parada de Máquina
APOIO INPEÇÃO / CRIAR INDICADORES PROVISORIOS PARA ABERTURA DO BLEEDER 2,apoio inpecao / criar indicadores provisorios para abertura do bleeder 2,,Manutenção/Inspeção/Teste de Máquina
QUEDA LINHAS IMPARES AF1 / OPERAÇÃO SOLICITOU APOIO DEVIDA AO AUMENTO DA INSTABILIDADE DE LINHAS,queda linhas impares af1 / operacao solicitou apoio devida ao aumento da instabilidade de linhas,,Parada de Máquina
QUEDA RI PCI1 /  OPERAÇÃO SOLICITOU ALTERAÇÕES PROVISORIAS PARA EVITAR QUEDAS E SUPORTE AVALIAÇÃO DO,queda ri pci1 /  operacao solicitou alteracoes provisorias para evitar quedas e suporte avaliacao do,,Parada de Máquina
VARIAÇÃO INJ PCI2 / APOIO SOLICITADO PELO PLANTÃO / AVALIANDO PCI2 E RETORNANDO INFORMAÇÕES COM SC,variacao inj pci2 / apoio solicitado pelo plantao / avaliando pci2 e retornando informacoes com sc,,Manutenção/Inspeção/Teste de Máquina
SC AF1/ DIFICULDADE OPERAR GRUPO 5/ ORIENTADO E AVALIADO FALHAS VIA CELULAR PARA RETORNO DO MOINHO,sc af1/ dificuldade operar grupo 5/ orientado e avaliado falhas via celular para retorno do moinho,,Parada de Máquina
SC AF1/ PCI COM OSCILAÇÃO DEVIDO CRIVO  VI3 / AVALIAÇÕES E ORIENTAÇÕES P/ AÇÕES REAÇÃO AOS PROBLEMAS,sc af1/ pci com oscilacao devido crivo  vi3 / avaliacoes e orientacoes p/ acoes reacao aos problemas,,Parada de Máquina
SC AF3/ VASO 2 CRIVO QUEDA INJEÇÃO / INSTABILIDADE REDUÇÃO AF / RETORNO LANÇAS P/ MANTER COMPRESSOR,sc af3/ vaso 2 crivo queda injecao / instabilidade reducao af / retorno lancas p/ manter compressor,,Parada de Máquina
APOIO AO TURNO/ CRAAF INSTABILIDADE COMUNICAÇÃO CARTÕES DA FCS0107 / ORIENTAÇÕES E SUPORTE,apoio ao turno/ craaf instabilidade comunicacao cartoes da fcs0107 / orientacoes e suporte,,Não Classificado
APOIO AO TURNO/ ALARME ELEVADO CORRENTE MOTORES MOAGEM / AVALIAR E ORIENTAR OPERAÇÃO,apoio ao turno/ alarme elevado corrente motores moagem / avaliar e orientar operacao,,Manutenção/Inspeção/Teste de Máquina
APOIO AO TURNO / CHAMA PRINCIPAL M3 NÃO OPERA / DEFINIR COM OPERAÇÃO ESTRATEGIA DE FUNCIONAMENTO,apoio ao turno / chama principal m3 nao opera / definir com operacao estrategia de funcionamento,,Parada de Máquina
APOIO A OPERAÇÃO / AJUSTE UMIDADE CWH03 / PARTIR M2,apoio a operacao / ajuste umidade cwh03 / partir m2,,Manutenção/Inspeção/Teste de Máquina
APOIO A OPERAÇAO / ALARME CALHA ROTATIVA DESLOCAMENTO AF2 - AVALIAR SITUAÇÃO,apoio a operacao / alarme calha rotativa deslocamento af2 - avaliar situacao,,Parada de Máquina
APOIO A OPERAÇÃO / PARTIDA MOTOR MESA M1 EM FALHA / NIVEL MUITO BAIXO SILO FINOS,apoio a operacao / partida motor mesa m1 em falha / nivel muito baixo silo finos,,Parada de Máquina
APOIO AO TURNO / VENT PRINCIPAL M1 NÃO PARTE E NIVEL BAIXO SF / DISJUNTOR TROCADO QUEIMA BOBINA,apoio ao turno / vent principal m1 nao parte e nivel baixo sf / disjuntor trocado queima bobina,,Parada de Máquina
APOIO A OPERAÇÃO / INJ F2 NÃO DA VAZÃO DO SP / FEITO AJUSTES E ORIENTAÇÕES A OPERAÇÃO,apoio a operacao / inj f2 nao da vazao do sp / feito ajustes e orientacoes a operacao,,Parada de Máquina
FINALIZAR LÓGICA DESOBST PCI1 / APOIO OPERAÇÃO/TURNO/PLANTÃO INSTABILIDADE INJ F2 / AVALIAÇÕES E ORI,finalizar logica desobst pci1 / apoio operacao/turno/plantao instabilidade inj f2 / avaliacoes e ori,,Não Classificado
APOIO AO TURNO/OPERAÇÃO / VENT PRINCIPAL M1 NÃO PARTE / AVALIAÇÃO E ORIENTAÇÃO,apoio ao turno/operacao / vent principal m1 nao parte / avaliacao e orientacao,,Parada de Máquina
APOIO A CELULA DE CONFIABILIDADE DO DESPOEIRAMENTO / FALHA DAMPER CASA DE CORRIDA AF2,apoio a celula de confiabilidade do despoeiramento / falha damper casa de corrida af2,,Parada de Máquina
RETORNO AF3 E PCI/ANALISADOR OFFTAKE,retorno af3 e pci/analisador offtake,,Manutenção/Inspeção/Teste de Máquina
CRIAR NOVAS TELA CADINHO PARA ATENDER CTO E APRESENTAR A IXT PARA AJUSTES,criar novas tela cadinho para atender cto e apresentar a ixt para ajustes,,Não Classificado
APOIO A OPERAÇÃO/ QUEDA DA INJ PCI2 / DIFICULDADE RETORNO ROTA,apoio a operacao/ queda da inj pci2 / dificuldade retorno rota,,Parada de Máquina
APOIO TURNO/ AJUSTE FATOR CORREÇÃO PCI1,apoio turno/ ajuste fator correcao pci1,,Manutenção/Inspeção/Teste de Máquina
APOIO OPERAÇÃO / FATOR CORREÇÃO PCI1 LIMITE INFERIOR COM CORREÇÕES CONTINUAS,apoio operacao / fator correcao pci1 limite inferior com correcoes continuas,,Não Classificado
APOIO OPERAÇÃO / AJUSTES PCI2,apoio operacao / ajustes pci2,,Manutenção/Inspeção/Teste de Máquina
CALIBRAÇÃO CABLOC AF2,calibracao cabloc af2,,Manutenção/Inspeção/Teste de Máquina
CALIBRAÇÃO CABLOC AF3,calibracao cabloc af3,,Manutenção/Inspeção/Teste de Máquina
RETORNO AF3,retorno af3,,Não Classificado
RETORNO AF3 / PARTIDA M3 E ROTAS INJEÇÃO,retorno af3 / partida m3 e rotas injecao,,Parada de Máquina
APOIO OPERAÇÃO/M3 CAINDO SUCESSIVAMENTE/DETECTADO VARIAÇAÕ ANORMAL VAZAO BFG CHAMA PRINCIPAL,apoio operacao/m3 caindo sucessivamente/detectado variacao anormal vazao bfg chama principal,,Parada de Máquina
APOIO AO TURNO / FALHA SINAL NIVEL CADINHO / ISOLADO SINAL FG1 E NORMALIZADA IND PROVISÓRIAMENTE,apoio ao turno / falha sinal nivel cadinho / isolado sinal fg1 e normalizada ind provisoriamente,,Parada de Máquina
ACOMPANHAMENTO PRESENCIAL HBI,acompanhamento presencial hbi,,Manutenção/Inspeção/Teste de Máquina
SUPORTE A IXT/ INSERÇÃO LMF2 POR FALHA PRESSOSTATO / ACOMPANHAMENTO HBI,suporte a ixt/ insercao lmf2 por falha pressostato / acompanhamento hbi,,Parada de Máquina
APOIO AO TURNO/OPERAÇÃO/ FALHA CARTÃO AI FCS0509 / TROCADO,apoio ao turno/operacao/ falha cartao ai fcs0509 / trocado,,Parada de Máquina
APOIO AO TURNO/OPERAÇÃO/ FALHA SEQUENCIA HS3 AF2,apoio ao turno/operacao/ falha sequencia hs3 af2,,Parada de Máquina
APOIO A OPERAÇÃO/FALHA SISTEMA HIDRAULICO M3/BOMBA LIGADA E PRESSÃO NÃO SOBE,apoio a operacao/falha sistema hidraulico m3/bomba ligada e pressao nao sobe,,Parada de Máquina
APOIO AO TURNO/MS VASOS PCI2/ AJUSTE PARAMETROS DEVIDO REDUÇÃO DE PRESSÃO VASO,apoio ao turno/ms vasos pci2/ ajuste parametros devido reducao de pressao vaso,,Manutenção/Inspeção/Teste de Máquina
